"id,Title,Date,CustomerCode,Type,ItemCode,Remarques,""Paire de branche"",""Branche gauche"",""Branche droite"",""Verres presentation"",""Verres solaires"",Face,Tenon,""Vis plaquettes"",""Vis face"",""Vis branches"",Manchon,Plaquettes,Vis,""Manchon gauche"",""Manchon droit"",""Tenon gauche"",""Tenon droit"""
"155881,""Utilisateur : 1085 - Reference monture : loshelterc2"",20190104,C0298390164,""Pieces detachees"",loshelterc2,""ref penvern defaut branches"",,1,1,,,,,,,,,,,,,,"
"155883,""Utilisateur : 2176 - Reference monture : voturunenc1"",20190104,C0450385145,""Pieces detachees"",voturunenc1,,,,,,,,,,,,,,,,,1,1"
"155884,""Utilisateur : 2315 - Reference monture : voevansc3"",20190104,C0467831833,""Pieces detachees"",voevansc3,""Il faut changer la visserie une fois par semaine, le pas de vis est defectueux"",,,,,,1,,,,,,,,,,,"
"155891,""Utilisateur : 553 - Reference monture : voblackc2"",20190104,C0231352900,""Pieces detachees"",voblackc2,,,,,,,1,,,,,,,,,,,"
"155892,""Utilisateur : 849 - Reference monture : lonikaiac3"",20190104,C0241578507,""Pieces detachees"",lonikaiac3,""Gilbert 6 "",,1,1,,,,,,,,,,,,,,"
"155893,""Utilisateur : 1301 - Reference monture : fomulderc2"",20190104,C0321491040,""Pieces detachees"",fomulderc2,,,,,,,,,,,,,2,,,,,"
"155900,""Utilisateur : 68 - Reference monture : foalbrightc5"",20190104,C0130584463,""Pieces detachees"",foalbrightc5,ferry,,,,,,1,,,,,,,,,,,"
"155906,""Utilisateur : 945 - Reference monture : vohagenc2"",20190104,C0251282525,""Pieces detachees"",vohagenc2,,,,1,,,1,,,,,,,,,,,"
"155909,""Utilisateur : 2126 - Reference monture : voofferc2"",20190104,C0442397601,""Pieces detachees"",voofferc2,,,,,,,1,,,,,,,,,,,"
"155910,""Utilisateur : 1081 - Reference monture : ioolblueeyesc2"",20190104,C0298290679,""Pieces detachees"",ioolblueeyesc2,""REFERENCE CLIENT HERROU JOHANN"",,,,,,1,,,,,,,,,,,"
"155911,""Utilisateur : 3764 - Reference monture : fotautouc1"",20190104,C0380373245,""Pieces detachees"",fotautouc1,,,,,,,1,,,,,,,,,,,"
"155912,""Utilisateur : 1105 - Reference monture : vocurtisc4"",20190104,C0298851522,""Pieces detachees"",vocurtisc4,,,,,,,1,,,,,,,,,,,"
"155913,""Utilisateur : 642 - Reference monture : vomayallc1"",20190104,C0233438031,""Pieces detachees"",vomayallc1,,,,,,,1,,,,,,,,,,,"
"155918,""Utilisateur : 1628 - Reference monture : fogoodmanc2"",20190104,C0344205234,""Pieces detachees"",fogoodmanc2,,,1,1,,,,,,,,,,,,,,"
"155919,""Utilisateur : 2721 - Reference monture : fohathawayc3"",20190104,C0478904141,""Pieces detachees"",fohathawayc3,immediato,,,,,,1,,,,,,,,,,,"
"155920,""Utilisateur : 1232 - Reference monture : vowatanabec3"",20190104,C0320725400,""Pieces detachees"",vowatanabec3,""Vu avec Rebecca	"" echange de branches watanabe sur la queen of soul """",,1,1,,,,,,,,,,,,,,"""
"155921,""Utilisateur : 2795 - Reference monture : vokeelyc2"",20190104,C0490633342,""Pieces detachees"",vokeelyc2,,,,,,,1,,,,,,,,,,,"
"155922,""Utilisateur : 1232 - Reference monture : vowatanabec1"",20190104,C0320725400,""Pieces detachees"",vowatanabec1,""Vu avec Rebecca	"" echange de paire de branches avec la queen of soul pour souci de manchon metal. Cordialement, Delphine."""",,1,1,,,,,,,,,,,,,,"""
"155924,""Utilisateur : 1232 - Reference monture : vowatanabec2"",20190104,C0320725400,""Pieces detachees"",vowatanabec2,""Echange de paire de branches pour souci confort"",,1,1,,,,,,,,,,,,,,"
"155929,""Utilisateur : 1019 - Reference monture : vodohertyc2"",20190104,C0296633151,""Pieces detachees"",vodohertyc2,,,,,,,1,,,,,,,,,,,"
"155932,""Utilisateur : 3112 - Reference monture : vofitzgeraldc2"",20190104,C0549726477,""Pieces detachees"",vofitzgeraldc2,""REF CLIENT COMPAGNON"",,,,,,1,,,,,,,,,,,"
"155934,""Utilisateur : 2802 - Reference monture : vswellerc1"",20190104,C0490700461,""Pieces detachees"",vswellerc1,,,,1,,,,,,,,,,,,,,"
"155935,""Utilisateur : 3226 - Reference monture : fojeanfrancoisec1"",20190104,C0558031515,""Pieces detachees"",fojeanfrancoisec1,godlewski,,,,,,1,,,,,,,,,,,"
"155937,""Utilisateur : 3281 - Reference monture : lojoespubc3"",20190104,C0559591837,""Pieces detachees"",lojoespubc3,""sav monture complete merci"",,1,1,,,1,,,,,,,,,,,"
"155941,""Utilisateur : 1342 - Reference monture : iomadgec1"",20190104,C0321980993,""Pieces detachees"",iomadgec1,dhalleine,,,,,,1,,,,,,,,,,,"
"155942,""Utilisateur : 1968 - Reference monture : vofogarinoc3"",20190104,C0387985000,""Pieces detachees"",vofogarinoc3,,,1,1,,,,,,,,,,,,,,"
"155943,""Utilisateur : 2808 - Reference monture : voofferc2"",20190104,C0490744010,""Pieces detachees"",voofferc2,,,,,,,1,,,,,,,,,,,"
"155947,""Utilisateur : 2136 - Reference monture : loburgeramac2"",20190104,C0442531322,""Pieces detachees"",loburgeramac2,aubanel,,1,1,,,,,,,,,,,,,,"
"155948,""Utilisateur : 605 - Reference monture : lohydeparkc4"",20190104,C0232412660,""Pieces detachees"",lohydeparkc4,desroc,,1,1,,,,,,,,,,,,,,"
"155957,""Utilisateur : 703 - Reference monture : vodoylec3"",20190104,C0235728511,""Pieces detachees"",vodoylec3,,,,,,,1,,,,,,,,,,,"
"155965,""Utilisateur : 2823 - Reference monture : lorockcityc2"",20190104,C0490940322,""Pieces detachees"",lorockcityc2,""EL HADRI"",,,,,,1,,,,,,,,,,,"
"155970,""Utilisateur : 1525 - Reference monture : fostreepc1"",20190104,C0327840347,""Pieces detachees"",fostreepc1,,,,,,,1,,,,,,,,,,,"
"155978,""Utilisateur : 1537 - Reference monture : fodamienc2"",20190104,C0327964701,""Pieces detachees"",fodamienc2,,,,,,,1,,,,,,,,,,,"
"155987,""Utilisateur : 1875 - Reference monture : fofringc2"",20190104,C0386380862,""Pieces detachees"",fofringc2,bouet,,,,,,1,,,,,,,,,,,"
"155988,""Utilisateur : 260 - Reference monture : vocochranc1"",20190104,C0143705512,""Pieces detachees"",vocochranc1,,,,,,,1,,,,,,,,,,,"
"155995,""Utilisateur : 544 - Reference monture : vomayallc1"",20190104,C0228155418,""Pieces detachees"",vomayallc1,""une face en sav ref Moreau merci"",,,,,,1,,,,,,,,,,,"
"155996,""Utilisateur : 431 - Reference monture : fohathawayc2"",20190104,C0149302754,""Pieces detachees"",fohathawayc2,""TR7S URGENT MERCI"",,,,,,,,,,,,6,,,,,"
