"id,Title,Date,CustomerCode,Type,ItemCode,Remarques,""Paire de branche"",""Branche gauche"",""Branche droite"",""Verres presentation"",""Verres solaires"",Face,Tenon,""Vis plaquettes"",""Vis face"",""Vis branches"",Manchon,Plaquettes,Vis,""Manchon gauche"",""Manchon droit"",""Tenon gauche"",""Tenon droit"""
"157085,""Utilisateur : 3652 - Reference monture : fohudsonc1"",20190114,C0490313001,""Pieces detachees"",fohudsonc1,,,,,,,1,,,,,,,,,,,"
"157086,""Utilisateur : 1625 - Reference monture : voorbisonc1"",20190114,C0344452500,""Pieces detachees"",voorbisonc1,,,,,,,1,,,,,,,,,,,"
"157091,""Utilisateur : 1356 - Reference monture : foabernathyc5"",20190114,C0322415440,""Pieces detachees"",foabernathyc5,,,,,,,1,,,,,,,,,,,"
"157092,""Utilisateur : 94 - Reference monture : locontinentalc3"",20190114,C0134683520,""Pieces detachees"",locontinentalc3,""casse tenon "",,,,,,1,,,,,,,,,,,"
"157094,""Utilisateur : 1542 - Reference monture : vostipec2"",20190114,C0328205530,""Pieces detachees"",vostipec2,,,1,1,,,1,,,,,,,,,,,"
"157096,""Utilisateur : 1538 - Reference monture : forentonc1"",20190114,C0327968893,""Pieces detachees"",forentonc1,,,,,,,2,,,,,,,,,,,"
"157097,""Utilisateur : 1221 - Reference monture : ioolblueeyesc1"",20190114,C0320548074,""Pieces detachees"",ioolblueeyesc1,belhache,,1,,,,,,,,,,,,,,,"
"157099,""Utilisateur : 1221 - Reference monture : ioolblueeyesc1"",20190114,C0320548074,""Pieces detachees"",ioolblueeyesc1,belhache,,,1,,,,,,,,,,,,,,"
"157100,""Utilisateur : 2536 - Reference monture : fokruegerc2"",20190114,C0475485480,""Pieces detachees"",fokruegerc2,,,,,,,01,,,,,,,,,,,"
"157103,""Utilisateur : 1634 - Reference monture : ioolblueeyesc1"",20190114,C0344259077,""Pieces detachees"",ioolblueeyesc1,""la face au niveau du nez ainsi que les 2 branches sont cassees, pas les verres merci nous vous renvoyons les pieces defectueuses "",,1,1,,,1,,,,,,,,,,,"
"157104,""Utilisateur : 2655 - Reference monture : foalbrightc3"",20190114,C0477968970,""Pieces detachees"",foalbrightc3,""mme david blab firminy"",,,,,,1,,,,,,,,,,,"
"157109,""Utilisateur : 3000 - Reference monture : voplantc2"",20190114,C0494520199,""Pieces detachees"",voplantc2,,,,,,,1,,,,,,,,,,,"
"157111,""Utilisateur : 831 - Reference monture : vocrowc2"",20190114,C0241050632,""Pieces detachees"",vocrowc2,""Ref client AUDIAU"",,,,,,1,,,,,,,,,,,"
"157112,""Utilisateur : 1684 - Reference monture : vocrowc2"",20190114,C0380701002,""Pieces detachees"",vocrowc2,""Reference porteur : Chassagne "",,,,,,1,,,,,,,,,,,"
"157114,""Utilisateur : 268 - Reference monture : fohathawayc2"",20190114,C0143762653,""Pieces detachees"",fohathawayc2,,,,,,,1,,,,,,,,,,,"
"157126,""Utilisateur : 1955 - Reference monture : foalbrightc7"",20190114,C0387881616,""Pieces detachees"",foalbrightc7,,,,,,,1,,,,,,,,,,,"
"157128,""Utilisateur : 2875 - Reference monture : foradcliffec1"",20190114,C0491784803,""Pieces detachees"",foradcliffec1,NUNES,,,,,,1,,,,,,,,,,,"
"157188,""Utilisateur : 3976 - Reference monture : vohookc3"",20190115,C0495605558,""Pieces detachees"",vohookc3,""guerrini andria "",,1,1,,,,,,,,,,,,,,"
"157193,""Utilisateur : 3116 - Reference monture : foalbrightc3"",20190115,C0549843033,""Pieces detachees"",foalbrightc3,,,1,1,,,,,,,,,,,,,,"
"157194,""Utilisateur : 1076 - Reference monture : lofinelinec2"",20190115,C0298152640,""Pieces detachees"",lofinelinec2,,,,,,,1,,,,,,,,,,,"
"157195,""Utilisateur : 2858 - Reference monture : voauerbachc5"",20190115,C0491607254,""Pieces detachees"",voauerbachc5,""REF SAM BOULANGER "",,1,1,,,,,,,,,,,,,,"
"157196,""Utilisateur : 58 - Reference monture : voturunenc2"",20190115,C0130108084,""Pieces detachees"",voturunenc2,""defaut acetate "",,,,,,1,,,,,,,,,,,"
