"id,Title,Date,CustomerCode,Type,ItemCode,Remarques,""Paire de branche"",""Branche gauche"",""Branche droite"",""Verres presentation"",""Verres solaires"",Face,Tenon,""Vis plaquettes"",""Vis face"",""Vis branches"",Manchon,Plaquettes,Vis,""Manchon gauche"",""Manchon droit"",""Tenon gauche"",""Tenon droit"""
"157286,""Utilisateur : 3773 - Reference monture : foeverdeenc2"",20190115,C0143794000,""Pieces detachees"",foeverdeenc2,,,1,1,,,,,,,,,,,,,,"
"157290,""Utilisateur : 2398 - Reference monture : voevansc3"",20190115,C0472417625,""Pieces detachees"",voevansc3,,,,,,,1,,,,,,,,,,,"
"157292,""Utilisateur : 3516 - Reference monture : lorockcityc3"",20190115,C0950394122,""Pieces detachees"",lorockcityc3,""le clip est casse au niveau d'une accroche plastique"",,,,,1,,,,,,,,,,,,"
"157300,""Utilisateur : 2824 - Reference monture : foabernathyc5"",20190115,C0490970427,""Pieces detachees"",foabernathyc5,,,,,,,,,,,,,2,,,,,"
"157301,""Utilisateur : 246 - Reference monture : lomarqueec2"",20190115,C0143533269,""Pieces detachees"",lomarqueec2,""ref client Caramagnol"",,,,,,1,,,,,,,,,,,"
"157306,""Utilisateur : 331 - Reference monture : ioolblueeyesc2"",20190115,C0145884928,""Pieces detachees"",ioolblueeyesc2,,,1,,,,,,,,,,,,,,,"
"157307,""Utilisateur : 1019 - Reference monture : iomaccac2"",20190115,C0296633151,""Pieces detachees"",iomaccac2,,,,,,,1,,,,,,,,,,,"
"157308,""Utilisateur : 3459 - Reference monture : vocrowc3"",20190115,C0565609245,""Pieces detachees"",vocrowc3,,,,,,,1,,,,,,,,,,,"
"157311,""Utilisateur : 96 - Reference monture : vsshakurc1"",20190115,C0134692053,""Pieces detachees"",vsshakurc1,,,1,1,,,,,,,,,,,,,,"
"157312,""Utilisateur : 327 - Reference monture : voofferc2"",20190115,C0145778965,""Pieces detachees"",voofferc2,,,,,,,1,,,,,,,,,,,"
"157313,""Utilisateur : 1554 - Reference monture : voturunenc2"",20190115,C0328422748,""Pieces detachees"",voturunenc2,,,,,,,1,,,,,,,,,,,"
"157314,""Utilisateur : 784 - Reference monture : vokeelyc3"",20190116,C0240282889,""Pieces detachees"",vokeelyc3,""ref: houssais"",,,,,,1,,,,,,,,,,,"
"157315,""Utilisateur : 2481 - Reference monture : voheldersc3"",20190116,C0474663287,""Pieces detachees"",voheldersc3,""Ref LARGE Veronique"",,,1,,,1,,,,,,,,,,,"
"157316,""Utilisateur : 1236 - Reference monture : loalhambrac2"",20190116,C0320759398,""Pieces detachees"",loalhambrac2,""PILCH Marcus"",,1,1,,,,,,,,,,,,,,"
"157317,""Utilisateur : 1506 - Reference monture : voofferc1"",20190116,C0327491565,""Pieces detachees"",voofferc1,sophie,,,,,,1,,,,,,,,,,,"
"157321,""Utilisateur : 3950 - Reference monture : logibusc3"",20190116,C0134170071,""Pieces detachees"",logibusc3,bertrand,,,,,,1,,,,,,,,,,,"
"157327,""Utilisateur : 883 - Reference monture : fofringc2"",20190116,C0243567881,""Pieces detachees"",fofringc2,""Ref porteur : Dieumarg"",,,,,,1,,,,,,,,,,,"
"157332,""Utilisateur : 3884 - Reference monture : fospielbergc2"",20190116,C0534457457,""Pieces detachees"",fospielbergc2,""casse au niveau bras de plaquettes"",,,,,,1,,,,,,,,,,,"
"157334,""Utilisateur : 2425 - Reference monture : vofitzgeraldc5"",20190116,C0473513989,""Pieces detachees"",vofitzgeraldc5,""ref porteur VIALA"",,,,,,1,,,,,,,,,,,"
"157335,""Utilisateur : 393 - Reference monture : lojoespubc2"",20190116,C0147935577,""Pieces detachees"",lojoespubc2,CEFFIS,,1,1,,,,,,,,,,,,,,"
