"id,Title,Date,CustomerCode,Type,ItemCode,Remarques,""Paire de branche"",""Branche gauche"",""Branche droite"",""Verres presentation"",""Verres solaires"",Face,Tenon,""Vis plaquettes"",""Vis face"",""Vis branches"",Manchon,Plaquettes,Vis,""Manchon gauche"",""Manchon droit"",""Tenon gauche"",""Tenon droit"""
"157205,""Utilisateur : 1463 - Reference monture : lohydeparkc2"",20190115,C0326520588,""Pieces detachees"",lohydeparkc2,,,1,1,,,,,,,,,,,,,,"
"157213,""Utilisateur : 3619 - Reference monture : loshelterc1"",20190115,C0232380944,""Pieces detachees"",loshelterc1,,,1,1,,,,,,,,,,,,,,"
"157218,""Utilisateur : 585 - Reference monture : fofawcettc2"",20190115,C0231958095,""Pieces detachees"",fofawcettc2,,,1,,,,,,,,,,,,,,,"
"157220,""Utilisateur : 750 - Reference monture : loesplanadec3"",20190115,C0238615632,""Pieces detachees"",loesplanadec3,""MME MENA REBECCA"",,1,1,,,,,,,,,,,,,,"
"157230,""Utilisateur : 3629 - Reference monture : vsphilippakisc3"",20190115,C0494587315,""Pieces detachees"",vsphilippakisc3,""merci de nous prevenir avant validation s'il y a facturation. ref cliente  ROUSSIN-BOUCHARD "",,,,,1,1,,,,,,,,,,,"
"157232,""Utilisateur : 903 - Reference monture : lonikaiac2"",20190115,C0247050990,""Pieces detachees"",lonikaiac2,THOURET,,,,,,1,,,,,,,,,,,"
"157234,""Utilisateur : 556 - Reference monture : votrimblec1"",20190115,C0231485167,""Pieces detachees"",votrimblec1,""face windsor abime"",,1,,,,1,,,,,,,,,,,"
"157258,""Utilisateur : 2583 - Reference monture : vocrowc1"",20190115,C0476375004,""Pieces detachees"",vocrowc1,""240 seon lola"",,,,,,1,,,,,,,,,,,"
"157263,""Utilisateur : 4000 - Reference monture : loburgeramac2"",20190115,C0233243887,""Pieces detachees"",loburgeramac2,""ref client: saval "",,,,,,1,,,,,,,,,,,"
"157264,""Utilisateur : 2485 - Reference monture : vofogertyc3"",20190115,C0474770759,""Pieces detachees"",vofogertyc3,,,,1,,,,,,,,,,,,,,"
"157265,""Utilisateur : 3550 - Reference monture : lonikaiac1"",20190115,C0980362785,""Pieces detachees"",lonikaiac1,,,1,1,,,1,,,,,,,,,,,"
"157266,""Utilisateur : 1848 - Reference monture : foprescottc2"",20190115,C0385513564,""Pieces detachees"",foprescottc2,clos,,1,,,,,,,,,,,,,,,"
"157270,""Utilisateur : 3041 - Reference monture : votrimblec1"",20190115,C0495232324,""Pieces detachees"",votrimblec1,""INSERT PLASTIQUE DÉCOLLER SUR MODÈLE MAGASIN"",,,,,,1,,,,,,,,,,,"
"157271,""Utilisateur : 3981 - Reference monture : vodohertyc1"",20190115,C0494031536,""Pieces detachees"",vodohertyc1,""ref client : Valentin Romeo"",,1,1,,,,,,,,,,,,,,"
"157272,""Utilisateur : 166 - Reference monture : ioolblueeyesc2"",20190115,C0140916096,""Pieces detachees"",ioolblueeyesc2,,,1,,,,,,,,,,,,,,,"
"157274,""Utilisateur : 1661 - Reference monture : fogoodmanc1"",20190115,C0355961450,""Pieces detachees"",fogoodmanc1,,,1,1,,,,,,,,,,,,,,"
"157277,""Utilisateur : 1661 - Reference monture : fogoodmanc1"",20190115,C0355961450,""Pieces detachees"",fogoodmanc1,,,,,,,1,,,,,,,,,,,"
"157279,""Utilisateur : 1070 - Reference monture : voreinhardtc3"",20190115,C0297811471,""Pieces detachees"",voreinhardtc3,""SOUDURE QUI A LACHE SUR MONTURE NEUVE"",,,,,,1,,,,,,,,,,,"
"157282,""Utilisateur : 2303 - Reference monture : vomayallc1"",20190115,C0467606391,""Pieces detachees"",vomayallc1,""Rivets de pont qui ont lâche"",,,,,,1,,,,,,,,,,,"
"157285,""Utilisateur : 255 - Reference monture : lojoespubc2"",20190115,C0143632000,""Pieces detachees"",lojoespubc2,,,1,1,,,,,,,,,,,,,,"
